País,Variable_Independiente,Valor_Variable,Parkinson_Predicho
South Korea,Muertes_agua_2,19359.010155955602,
South Korea,Exp_plomo_2,8176.7222205529,
South Korea,Pepticidas_log,9.730205020392843,
Ukraine,Contaminacion_aire,0.4801476,
Ukraine,Exp_plomo,215.91557,
Ukraine,Muertes_agua,15.891642,
Ukraine,Pepticidas,43544.19,
Ukraine,Precipitaciones,1746.633,
Ukraine,Muertes_agua_2,252.54428545616398,
Ukraine,Exp_plomo_2,46619.5333684249,
Ukraine,Pepticidas_log,9.636061599308759,
Finland,Contaminacion_aire,0.18233627,
Finland,Exp_plomo,55.139652,
Finland,Muertes_agua,3.0906427,
Finland,Pepticidas,865.96,
Finland,Precipitaciones,1021.5873,
Finland,Muertes_agua_2,9.55207229906329,
Finland,Exp_plomo_2,3040.3812226811037,
Finland,Pepticidas_log,9.613323068114427,
France,Contaminacion_aire,0.6636257,
France,Exp_plomo,64.76011,
France,Muertes_agua,61.07749,
France,Pepticidas,3081.1,
France,Precipitaciones,1438.6268,
France,Muertes_agua_2,3730.4597847000996,
France,Exp_plomo_2,4193.8718472121,
France,Pepticidas_log,9.74404271669641,
Germany,Contaminacion_aire,1.2405633,
Germany,Exp_plomo,65.185234,
Germany,Muertes_agua,87.83112,
Germany,Pepticidas,215.63,
Germany,Precipitaciones,1337.0881,
Germany,Muertes_agua_2,7714.3056404543995,
Germany,Exp_plomo_2,4249.114731634755,
Germany,Pepticidas_log,9.9113183119513,
Greece,Contaminacion_aire,1.433775,
Greece,Exp_plomo,171.30447,
Greece,Muertes_agua,2.6891315,
Greece,Pepticidas,22883.17,
Greece,Precipitaciones,24.174356,
Greece,Muertes_agua_2,7.231428224292249,
Greece,Exp_plomo_2,29345.221441980902,
Greece,Pepticidas_log,9.80265123170208,
Iceland,Contaminacion_aire,0.63382787,
Iceland,Exp_plomo,62.67418,
Iceland,Muertes_agua,0.1334811,
Iceland,Pepticidas,1062.61,
Iceland,Precipitaciones,969.0695,
Iceland,Muertes_agua_2,0.017817204057209997,
Iceland,Exp_plomo_2,3928.0528386724,
Iceland,Pepticidas_log,9.680718930926991,
Netherlands,Contaminacion_aire,1.4065689,
Netherlands,Exp_plomo,55.8275,
Netherlands,Muertes_agua,13.615331,
Netherlands,Pepticidas,3445.22,
Netherlands,Precipitaciones,1377.0824,
Netherlands,Muertes_agua_2,185.377238239561,
Netherlands,Exp_plomo_2,3116.7097562500003,
Netherlands,Pepticidas_log,11.01350126392868,
Norway,Contaminacion_aire,0.63661855,
Norway,Exp_plomo,52.21204,
Norway,Muertes_agua,9.494911,
Norway,Pepticidas,3308.54,
Norway,Precipitaciones,2026.592,
Norway,Muertes_agua_2,90.153334897921,
Norway,Exp_plomo_2,2726.0971209616,
Norway,Pepticidas_log,,
Portugal,Contaminacion_aire,0.95477813,
Portugal,Exp_plomo,147.16626,
Portugal,Muertes_agua,17.56546,
Portugal,Pepticidas,104.39,
Portugal,Precipitaciones,904.6849,
Portugal,Muertes_agua_2,308.54538501160005,
Portugal,Exp_plomo_2,21657.9080823876,
Portugal,Pepticidas_log,,
Spain,Contaminacion_aire,2.4069355,
Spain,Exp_plomo,118.20587,
Spain,Muertes_agua,55.81742,
Spain,Pepticidas,130.22,
Spain,Precipitaciones,744.6601,
Spain,Muertes_agua_2,3115.5843754564,
Spain,Exp_plomo_2,13972.6277024569,
Spain,Pepticidas_log,,
Sweden,Contaminacion_aire,0.41206414,
Sweden,Exp_plomo,49.79437,
Sweden,Muertes_agua,24.634127,
Sweden,Pepticidas,11.21,
Sweden,Precipitaciones,853.216,
Sweden,Muertes_agua_2,606.840213052129,
Sweden,Exp_plomo_2,2479.4792836969,
Sweden,Pepticidas_log,,
Switzerland,Contaminacion_aire,1.2404749,
Switzerland,Exp_plomo,71.06094,
Switzerland,Muertes_agua,6.2997894,
Switzerland,Pepticidas,314.0,
Switzerland,Precipitaciones,693.40826,
Switzerland,Muertes_agua_2,39.68734648435236,
Switzerland,Exp_plomo_2,5049.6571936836,
Switzerland,Pepticidas_log,,
Antigua and Barbuda,Contaminacion_aire,0.0008562899,
Antigua and Barbuda,Exp_plomo,332.3973,
Antigua and Barbuda,Muertes_agua,0.7545274,
Antigua and Barbuda,Pepticidas,250.94,
Antigua and Barbuda,Precipitaciones,1147.3763,
Antigua and Barbuda,Muertes_agua_2,0.56931159735076,
Antigua and Barbuda,Exp_plomo_2,110487.96504728998,
Antigua and Barbuda,Pepticidas_log,,
Argentina,Contaminacion_aire,0.9815333,
Argentina,Exp_plomo,140.98857,
Argentina,Muertes_agua,219.055,
Argentina,Pepticidas,241519.98,
Argentina,Precipitaciones,521.4431,
Argentina,Muertes_agua_2,47985.093025,
Argentina,Exp_plomo_2,19877.776870644902,
Argentina,Pepticidas_log,,
Bahamas,Contaminacion_aire,0.36078987,
Bahamas,Exp_plomo,274.91766,
Bahamas,Muertes_agua,2.0114696,
Bahamas,Pepticidas,14.05,
Bahamas,Precipitaciones,545.3027,
Bahamas,Muertes_agua_2,4.04600995172416,
Bahamas,Exp_plomo_2,75579.71977987561,
Bahamas,Pepticidas_log,,
Belize,Contaminacion_aire,1.0403091,
Belize,Exp_plomo,271.38293,
Belize,Muertes_agua,6.712676,
Belize,Pepticidas,77.85,
Belize,Precipitaciones,1459.3962,
Belize,Muertes_agua_2,45.060019080976,
Belize,Exp_plomo_2,73648.6946953849,
Belize,Pepticidas_log,,
Canada,Contaminacion_aire,0.89223635,
Canada,Exp_plomo,59.354424,
Canada,Muertes_agua,63.769382,
Canada,Pepticidas,12868.45,
Canada,Precipitaciones,466.49026,
Canada,Muertes_agua_2,4066.5340806619242,
Canada,Exp_plomo_2,3522.9476483717763,
Canada,Pepticidas_log,,
Chile,Contaminacion_aire,0.54064375,
Chile,Exp_plomo,66.66258,
Chile,Muertes_agua,57.96433,
Chile,Pepticidas,241540.66,
Chile,Precipitaciones,1724.321,
Chile,Muertes_agua_2,3359.8635523488997,
Chile,Exp_plomo_2,4443.8995722564005,
Chile,Pepticidas_log,,
Cuba,Contaminacion_aire,0.6456112,
Cuba,Exp_plomo,376.7464,
Cuba,Muertes_agua,149.35968,
Cuba,Pepticidas,4590.0,
Cuba,Precipitaciones,868.4816,
Cuba,Muertes_agua_2,22308.3140097024,
Cuba,Exp_plomo_2,141937.84991296,
Cuba,Pepticidas_log,,
United Kingdom,Contaminacion_aire,0.3881125,
United Kingdom,Exp_plomo,62.81086,
United Kingdom,Muertes_agua,28.807419,
United Kingdom,Pepticidas,138549.38,
United Kingdom,Precipitaciones,116.4217,
United Kingdom,Muertes_agua_2,829.8673894415609,
United Kingdom,Exp_plomo_2,3945.2041339395996,
United Kingdom,Pepticidas_log,,
United States,Contaminacion_aire,2.215381,
United States,Exp_plomo,114.992676,
United States,Muertes_agua,406.09113,
United States,Pepticidas,1958058.0,
United States,Precipitaciones,1455.5989,
United States,Muertes_agua_2,164910.0058646769,
United States,Exp_plomo_2,13223.315533640976,
United States,Pepticidas_log,,
Uruguay,Contaminacion_aire,0.7758184,
Uruguay,Exp_plomo,187.52585,
Uruguay,Muertes_agua,27.083086,
Uruguay,Pepticidas,586.83,
Uruguay,Precipitaciones,2084.7024,
Uruguay,Muertes_agua_2,733.4935472833961,
Uruguay,Exp_plomo_2,35165.9444182225,
Uruguay,Pepticidas_log,,
Dominican Republic,Contaminacion_aire,0.352938,
Dominican Republic,Exp_plomo,628.5986,
Dominican Republic,Muertes_agua,429.86258,
Dominican Republic,Pepticidas,356252.5,
Dominican Republic,Precipitaciones,1617.8756,
Dominican Republic,Muertes_agua_2,184781.83768425637,
Dominican Republic,Exp_plomo_2,395136.19992196007,
Dominican Republic,Pepticidas_log,,
Jamaica,Contaminacion_aire,0.81051135,
Jamaica,Exp_plomo,408.42532,
Jamaica,Muertes_agua,56.686287,
Jamaica,Pepticidas,2181.52,
Jamaica,Precipitaciones,1737.6167,
