Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
2009,Belgium,259.96246,1.2824342,170.35219,9074.21,3.4807608,65469.086
2010,Belgium,264.80832,1.2373358,161.84499,8449.91,4.743587,90943.555
2011,Belgium,269.52423,1.1222142,153.80013,9007.08,4.504449,111122.34
2012,Belgium,275.6611,1.2591652,148.9109,8742.92,1.9158437,140374.55
2013,Belgium,282.4456,1.3971269,143.92961,8306.6,2.1070938,177523.73
2014,Belgium,289.11984,1.4438115,136.70428,9095.89,0.5433875,388236.12
2015,Belgium,293.9691,1.308389,133.81598,8829.62,0.5433875,499857.22
2016,Belgium,296.72504,1.1597131,128.16031,771.0,23.320232,639673.56
2017,Belgium,299.48724,1.0561333,123.17965,696.0,24.26479,884770.6
2018,Belgium,302.8158,1.2484125,118.6502,997.0,24.26479,1093768.0
2019,Belgium,307.27396,1.2454734,114.01668,1057.83,23.334774,1229925.5
2020,Belgium,317.6248,1.2016537,107.2132,1118.67,23.94404,1380508.5
1993,Cyprus,136.68985,7.563427,499.06705,5440.0,23.61478,515.2971
1994,Cyprus,139.23204,6.7828474,470.7068,4759.9,23.923283,989.7251
1995,Cyprus,141.8212,6.6176205,460.91562,4957.4,25.237684,2063.71
1996,Cyprus,144.46794,6.1800203,447.79828,5306.06,24.874332,996599.06
1997,Cyprus,147.1484,6.1076946,451.56192,5345.4,24.869242,1156619.4
1998,Cyprus,149.5793,5.479526,445.25937,5146.98,24.618742,1322052.2
1999,Cyprus,152.02983,5.1042976,420.58426,4683.39,25.348692,1522512.2
2000,Cyprus,154.65475,5.2730684,401.06863,4472.87,23.159925,1819431.0
2001,Cyprus,157.48062,5.397854,382.4795,4433.0,22.491682,3615.9155
2002,Cyprus,160.51814,5.4886494,366.78415,4433.0,23.166117,7032.9414
2003,Cyprus,163.65526,5.076706,349.1161,4092.0,22.686375,13450.86
2004,Cyprus,167.0484,4.5614057,320.43625,3908.2,19.957659,25793.57
2005,Cyprus,170.4548,3.9061472,301.83627,3515.1,20.05393,40948.46
2006,Cyprus,173.4637,3.8979936,291.21136,3461.1,6.36387,50632.895
2007,Cyprus,176.32869,3.4903572,277.2303,9838.76,4.131675,55007.418
2008,Cyprus,179.2232,3.747216,264.75156,9838.76,3.1636758,59238.797
2009,Cyprus,182.08315,3.567416,257.56183,9838.76,2.9743261,63381.645
2010,Cyprus,184.83609,4.064773,255.43733,1105.73,2.9479432,72288.23
2011,Cyprus,187.71571,3.9054735,247.21071,1105.73,3.6964705,76276.58
2012,Cyprus,191.29959,4.0321965,236.65062,1105.73,4.530859,80231.73
2013,Cyprus,195.6354,4.033009,227.49753,1105.73,6.63775,84160.98
2014,Cyprus,200.48878,3.9194622,219.86003,1105.73,7.2665,89994.44
2015,Cyprus,205.49496,3.973059,214.09912,1105.73,5.054369,96101.66
2016,Cyprus,209.99539,3.6839874,203.96953,1105.73,4.7003994,102360.23
2017,Cyprus,214.28416,3.756657,202.46518,1105.73,4.459807,108549.62
2018,Cyprus,218.87076,3.8445916,196.86203,1105.73,4.86844,114636.99
2019,Cyprus,224.34596,3.827155,192.87067,1105.73,6.277342,120618.1
2020,Cyprus,239.0628,3.6262674,180.55498,1105.73,4.805105,126482.0
2021,Cyprus,244.58018,3.597214,172.52719,1105.73,5.97122,2414342.2
1992,Denmark,145.92937,1.567186,181.93831,3713.96,19.289946,691478.0
1996,Denmark,156.83109,2.5517821,161.95776,5409.43,25.59715,322311170.0
1997,Denmark,159.22838,2.5555367,152.9322,5975.25,26.72696,388674300.0
1998,Denmark,161.7816,2.7101734,145.44337,6316.61,29.850328,471901000.0
1999,Denmark,164.56317,2.4739513,143.70319,6384.22,29.951914,525484960.0
2000,Denmark,167.0574,2.2695541,134.43631,6451.83,28.523396,586128060.0
2004,Denmark,187.20027,1.9907451,117.80758,5874.45,30.588234,576.8533
2005,Denmark,191.21646,1.9317552,110.13654,6815.45,26.362957,1920.4731
2006,Denmark,194.32654,1.8969364,105.95062,7069.45,5.414094,5759.586
2007,Denmark,197.465,2.1153631,101.45358,7069.45,5.3449464,19202.756
2008,Denmark,200.88803,1.8919423,95.371086,7069.45,5.9796786,28820.494
2009,Denmark,204.79659,1.9587654,91.224945,2565.86,7.2324643,76903.555
2010,Denmark,209.36523,1.9001019,87.04097,3.12,7.6931357,144307.14
2011,Denmark,216.97037,1.9611601,80.89261,3.12,8.35696,481266.84
2012,Denmark,228.24965,2.1894488,76.83155,3.12,8.187787,577765.1
2013,Denmark,241.44223,2.2963932,73.61907,3.12,7.9277844,626358.0
2014,Denmark,254.3862,2.1858046,70.220856,3.12,5.899918,674877.6
2015,Denmark,264.9863,1.9325575,68.368675,3.12,5.187724,724339.5
2016,Denmark,273.94965,1.6554698,66.50622,3.12,20.27489,784856.5
2017,Denmark,282.90958,1.4946498,63.738182,3.12,20.305695,820536.1
2018,Denmark,291.7772,1.8104715,62.268795,3.12,20.997086,892341.4
2019,Denmark,299.92038,1.7551244,59.997353,3.12,20.861397,986837.4
2020,Denmark,302.85297,1.6798437,57.577415,3.12,20.833559,1083570.8
2021,Denmark,301.57172,1.6572753,56.231777,3.12,20.895536,642921200.0
1992,Ireland,133.46669,1.7682184,264.12375,1108.54,5.305242,6116.454
1993,Ireland,137.41429,1.8074595,263.9542,1278.96,29.11,15291.683
1994,Ireland,140.36084,1.8131037,257.7894,1218.48,29.11,79601.445
